,material_tag,concept_tag,concept_slug,material_id,target
591,8,525,hydrogeology,64,0.000391383327339
592,8,526,hollywood,64,0.0003868657245337
593,8,527,maize,64,0.0003859332859926
594,8,528,mississippi-river,64,0.0003844832766719
595,8,529,pressure,64,0.0003826156976393
596,8,530,polymer,64,0.0003791118474112
597,9,531,target-audience,65,0.0132551156687954
598,9,532,draft-hull,65,0.012657885195402
599,9,533,email,65,0.0098424688250881
600,9,534,genre,65,0.0040981484893736
602,9,535,feedback,65,0.003882983176477
603,9,536,academic-journal,65,0.0038271814738433
604,9,537,conscription,65,0.0037324266212743
605,9,538,paper,65,0.0032959811909086
606,9,539,audience,65,0.0030152969443902
607,9,540,united-kingdom,65,0.0027623932329559
609,9,541,world-war-i,65,0.0025874312229121
613,9,542,social-class,65,0.0024685324194383
622,9,543,time,65,0.002081863174912
625,9,544,experiment,65,0.0020153716820422
626,9,545,probability,65,0.0019834160217402
628,9,546,trade,65,0.0019621451096373
629,9,547,article-publishing,65,0.0018886426512703
630,9,548,navigation,65,0.001884823732649
631,9,549,analysis,65,0.001858319843891
632,10,550,roxbury-boston,66,0.0330695007935582
633,10,551,e-commerce,66,0.0096955803383611
634,10,552,architecture,66,0.0079450676767484
635,10,553,massachusetts,66,0.0072337305993456
638,10,554,business,66,0.0058598965004632
640,10,555,urban-planning,66,0.0056949036207779
641,10,556,latin,66,0.0053465411726485
644,10,557,cbs-news,66,0.0048301999806593
645,10,558,gross-domestic-product,66,0.0047380877078885
646,10,559,richard-nixon,66,0.004467788322686
648,11,560,garcia-frankowski,72,0.0116065671211608
649,11,561,santiago,72,0.0086559998499557
650,11,562,cruz-garcia,72,0.0076514981500687
651,11,563,tahrir-square,72,0.0053586624740734
652,11,564,cristian-valenzuela,72,0.0048546976635676
653,11,565,hamed-khosravi,72,0.0047121937320506
654,11,566,neoliberalism,72,0.0039996901306396
655,11,567,potsdamer-platz,72,0.0039888272908873
656,11,568,chile,72,0.0039878930258609
657,11,569,cemetery,72,0.0037478400509812
658,11,570,costanera-center,72,0.0036779555244033
659,11,571,france,72,0.0031867645815886
660,11,572,latin-america,72,0.0030498011264505
661,11,573,germany,72,0.0029210343923944
662,11,574,pedestal,72,0.0028956575905833
663,11,575,japan,72,0.002871299571246
664,11,576,brazil,72,0.0028705734985276
665,11,577,italy,72,0.002785803468842
666,11,578,architecture,72,0.0027183326832486
668,11,579,china,72,0.002606272951986
669,11,580,toronto,72,0.0025631463701752
670,11,581,iran,72,0.0022183106120661
671,11,582,forward-association-football,72,0.0021610467558726
673,11,583,professor,72,0.002081212646748
674,11,584,culture,72,0.002061738392107
677,12,585,use-value,73,0.0558806376335679
678,12,586,architecture,73,0.019016423022458
680,12,587,harmony,73,0.015767479438202
683,13,588,london,74,0.0059390663773608
684,13,589,zip-city-alabama,74,0.0051062505377029
685,13,590,homelessness,74,0.0049455924385515
686,13,591,zzzz,74,0.0045585516626873
687,13,592,social-condenser,74,0.0044267689029211
688,13,593,post-office,74,0.0028977475391157
689,13,594,high-availability,74,0.0026657286966145
690,13,595,zip-file-format,74,0.0025626933564149
691,13,596,ice-hockey-world-championships,74,0.0021871986870336
692,13,597,the-guardian,74,0.0019877273780413
693,13,598,socialization,74,0.0018353685726904
694,13,599,flip-flops,74,0.001707784542109
695,13,600,technology,74,0.0016941475242017
697,13,601,shopping-mall,74,0.0016616046532935
698,13,602,pound-sterling,74,0.0016037150277636
700,13,603,backpack,74,0.0015827449171254
701,13,604,architecture,74,0.0015553919673091
703,13,605,united-kingdom,74,0.0015369573159954
705,13,606,castle,74,0.001504550142994
706,13,607,world-war-ii,74,0.0014391619774714
708,13,608,north-america,74,0.0013729630837134
709,13,609,couchsurfing,74,0.00134493743285
710,13,610,speed,74,0.0013199293768156
711,13,611,tile,74,0.0012919710242255
712,13,612,cooking,74,0.0012893393940537
713,13,613,condenser-heat-transfer,74,0.0012722683009284
714,13,614,youtube,74,0.0012678668090871
716,13,615,television,74,0.0012622653222324
718,13,616,east-asia,74,0.0012403692824709
719,13,617,mass-media,74,0.0012369109069199
